"Treatment","Age","Transect","Point","Depth","Macro","Micro","MacroC","MicroC","MacroN","MicroN","Total","Gpos","Gneg","Eubac","Actino","AMF","Fungi","FB","Richness","CN"
2,1,3,1,1,0.19,0.50,9.99,13.77,0.94,1.23,5.12,1.77,1.20,3.55,0.80,0.33,0.45,0.13,11,10.95
2,1,3,2,1,0.18,0.50,9.25,13.58,0.93,1.35,6.53,2.04,1.66,4.61,0.91,0.56,0.45,0.10,12,10.03
2,1,3,3,1,0.18,0.46,11.96,12.17,1.08,1.14,3.77,1.52,1.03,3.08,0.00,0.40,0.28,0.09,9,10.84
2,1,3,4,1,0.20,0.46,12.25,13.96,1.20,1.22,3.57,1.15,0.71,2.31,0.76,0.24,0.26,0.11,10,10.82
2,2,1,1,1,0.18,0.50,1.39,8.14,0.13,0.75,10.09,3.23,2.55,6.82,2.00,0.64,0.63,0.09,12,10.80
2,2,1,2,1,0.30,0.44,2.51,7.73,0.25,0.75,7.16,2.12,1.93,6.03,0.00,0.46,0.67,0.11,11,10.16
2,2,1,3,1,0.20,0.48,1.83,8.22,0.19,0.77,7.00,2.72,2.13,5.83,0.00,0.62,0.55,0.09,12,10.49
2,2,1,4,1,0.23,0.45,2.31,9.65,0.18,0.78,6.62,2.61,2.07,5.63,0.00,0.61,0.37,0.07,12,12.47
2,2,2,1,1,0.28,0.46,2.96,7.31,0.28,0.65,6.32,2.01,1.52,3.88,1.55,0.48,0.40,0.10,11,11.09
2,2,2,2,1,0.26,0.48,1.71,7.49,0.17,0.66,11.16,3.22,3.03,7.44,2.26,0.84,0.62,0.08,13,11.13
2,2,2,3,1,0.28,0.41,1.41,4.66,0.12,0.46,18.03,5.15,4.77,15.77,0.00,1.66,0.61,0.04,15,10.34
2,2,2,4,1,0.26,0.41,2.39,8.65,0.23,0.72,14.27,4.01,3.93,12.39,0.00,1.13,0.74,0.06,15,11.68
2,2,3,1,1,0.29,0.44,3.11,9.07,0.27,0.77,11.97,3.85,3.78,9.10,0.00,1.46,1.40,0.15,14,11.66
2,2,3,2,1,0.25,0.48,2.73,9.69,0.23,0.82,11.18,3.77,3.82,9.26,0.00,1.08,0.83,0.09,14,11.80
2,2,3,3,1,0.24,0.46,2.08,6.91,0.20,0.62,11.63,3.32,2.89,7.55,2.48,0.94,0.66,0.09,14,11.07
2,2,3,4,1,0.22,0.46,2.32,10.40,0.19,0.81,14.24,4.34,3.49,9.80,2.55,1.12,0.77,0.08,15,12.76
2,3,1,1,1,0.54,0.27,7.72,3.43,1.31,0.34,8.65,2.28,2.61,5.94,1.69,0.60,0.42,0.07,13,6.73
2,3,1,2,1,0.55,0.30,7.75,3.52,0.88,0.39,10.95,3.24,2.83,7.27,2.51,0.69,0.47,0.07,13,8.87
2,3,1,3,1,0.45,0.41,6.48,5.19,1.55,0.48,14.44,4.08,4.24,12.53,0.00,1.03,0.87,0.07,15,5.76
2,3,1,4,1,0.44,0.39,6.38,5.47,1.09,0.52,10.77,3.38,3.91,8.94,0.00,0.84,0.99,0.11,13,7.36
2,3,2,1,1,0.52,0.31,14.71,2.55,1.42,0.34,11.41,2.87,3.57,9.95,0.00,0.73,0.73,0.07,14,9.82
2,3,2,2,1,0.61,0.24,14.16,1.93,2.24,0.29,10.89,3.17,3.06,9.45,0.00,0.71,0.74,0.08,14,6.36
2,3,2,3,1,0.43,0.41,10.42,3.45,1.28,0.53,10.01,2.79,2.76,8.39,0.00,0.68,0.94,0.11,14,7.68
2,3,2,4,1,0.53,0.32,9.98,2.68,1.16,0.44,11.76,3.41,3.28,8.30,2.00,0.80,0.66,0.08,15,7.91
2,3,3,1,1,0.40,0.40,6.09,4.68,0.73,0.61,15.59,4.95,3.82,10.94,2.39,0.90,1.35,0.12,15,8.08
2,3,3,2,1,0.55,0.31,7.88,3.71,0.96,0.43,9.85,2.75,2.73,8.50,0.00,0.67,0.68,0.08,13,8.33
2,3,3,3,1,0.56,0.29,10.60,3.93,1.17,0.42,4.51,1.25,1.48,3.79,0.00,0.33,0.40,0.10,9,9.19
2,3,3,4,1,0.39,0.44,4.61,3.62,0.58,0.62,8.35,2.85,2.97,6.93,0.00,0.71,0.70,0.10,12,6.85
2,1,1,1,2,0.14,0.51,22.17,17.32,1.79,3.46,0.22,0.09,0.04,0.13,0.09,0.00,0.00,0.00,5,7.52
2,1,1,2,2,0.15,0.55,28.86,15.33,2.33,3.07,0.49,0.23,0.07,0.36,0.13,0.00,0.00,0.00,8,8.19
2,1,1,3,2,0.16,0.55,16.46,0.00,1.33,0.00,0.56,0.15,0.21,0.36,0.20,0.00,0.00,0.00,3,12.40
2,1,1,4,2,0.23,0.48,33.01,13.79,2.66,1.96,0.75,0.27,0.12,0.47,0.16,0.04,0.08,0.16,10,10.13
2,1,2,1,2,0.12,0.42,21.49,11.69,1.85,1.64,1.30,0.56,0.28,0.84,0.46,0.00,0.00,0.00,5,9.51
2,1,2,2,2,0.15,0.46,20.13,11.61,1.73,2.62,0.93,0.29,0.25,0.54,0.39,0.00,0.00,0.00,4,7.29
2,1,2,3,2,0.07,0.46,26.87,12.27,2.31,1.23,1.01,0.27,0.24,0.71,0.30,0.00,0.00,0.00,5,11.05
2,1,2,4,2,0.04,0.51,4.85,14.72,0.41,1.24,1.81,0.64,0.41,1.26,0.43,0.12,0.00,0.00,8,11.87
2,1,3,1,2,0.17,0.56,4.83,8.71,0.50,0.88,0.42,0.17,0.06,0.29,0.13,0.00,0.00,0.00,7,9.79
2,1,3,2,2,0.14,0.55,9.26,13.62,0.90,1.24,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10.68
2,1,3,3,2,0.17,0.52,9.96,10.06,0.94,1.08,0.63,0.13,0.18,0.31,0.32,0.00,0.00,0.00,3,9.89
2,1,3,4,2,0.17,0.51,12.48,10.75,1.20,1.01,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10.54
2,2,1,1,2,0.17,0.29,2.40,7.39,0.22,0.72,4.05,0.96,0.95,2.17,1.19,0.33,0.37,0.17,10,10.38
2,2,4,2,2,0.19,0.27,2.82,7.18,0.26,0.92,6.75,2.12,1.57,4.09,1.91,0.48,0.26,0.06,11,8.48
2,2,1,3,2,0.17,0.28,2.73,3.17,0.23,0.32,6.06,1.91,1.40,3.67,1.68,0.50,0.21,0.06,11,10.68
2,2,1,4,2,0.19,0.27,2.54,7.09,0.22,0.80,7.36,2.28,1.67,4.52,1.97,0.55,0.32,0.07,12,9.40
2,2,2,1,2,0.17,0.27,2.06,7.19,0.18,0.63,5.68,1.74,1.15,3.21,1.75,0.51,0.21,0.07,11,11.41
2,2,2,2,2,0.20,0.27,1.98,7.20,0.20,0.63,4.80,1.55,1.05,2.94,1.36,0.33,0.17,0.06,11,11.04
2,2,2,3,2,0.20,0.27,2.48,7.08,0.20,0.77,7.15,2.35,1.50,4.53,1.66,0.54,0.42,0.09,12,9.86
2,2,2,4,2,0.19,0.27,2.29,7.43,0.19,0.74,5.30,1.85,1.07,3.29,1.36,0.42,0.23,0.07,11,10.46
2,2,3,1,2,0.19,0.27,3.35,6.77,0.33,0.66,7.75,2.27,1.75,4.72,1.76,0.60,0.68,0.14,12,10.23
2,2,3,2,2,0.21,0.26,3.48,5.89,0.34,0.51,5.11,1.63,1.07,3.05,1.49,0.38,0.20,0.06,11,11.04
2,2,3,3,2,0.17,0.28,1.91,7.37,0.16,0.64,5.33,1.74,1.14,3.23,1.47,0.37,0.26,0.08,11,11.58
2,2,3,4,2,0.19,0.27,2.92,6.63,0.42,0.70,5.37,1.57,1.13,3.09,1.48,0.39,0.42,0.14,11,8.55
2,3,1,1,2,0.65,0.20,10.18,2.42,1.02,0.48,3.01,1.18,0.48,1.91,0.87,0.23,0.00,0.00,9,8.39
2,3,1,2,2,0.43,0.44,10.18,2.46,1.02,0.49,1.89,0.71,0.35,1.06,0.66,0.17,0.00,0.00,7,8.37
2,3,1,3,2,0.50,0.36,10.76,3.14,1.02,0.63,2.19,0.84,0.36,1.36,0.63,0.20,0.00,0.00,8,8.45
2,3,1,4,2,0.55,0.30,12.55,2.00,1.25,0.41,9.86,3.30,1.88,6.53,2.47,0.59,0.27,0.04,14,8.72
2,3,2,1,2,0.57,0.26,6.91,2.55,0.91,0.51,8.24,2.95,1.36,5.23,2.35,0.49,0.18,0.03,12,6.65
2,3,2,2,2,0.52,0.27,7.43,2.24,0.88,0.38,5.60,2.03,1.03,3.65,1.58,0.38,0.00,0.00,11,7.62
2,3,2,3,2,0.63,0.12,7.76,3.82,0.78,0.63,2.28,0.72,0.40,1.30,0.78,0.19,0.00,0.00,8,8.23
2,3,2,4,2,0.62,0.20,10.25,2.82,1.03,0.38,3.46,1.31,0.53,2.07,1.18,0.20,0.00,0.00,9,9.32
2,3,3,1,2,0.46,0.40,14.36,1.35,1.44,0.21,5.43,2.06,0.95,3.51,1.59,0.33,0.00,0.00,10,9.53
2,3,3,2,2,0.74,0.06,9.71,3.02,0.97,0.60,7.91,2.99,1.40,5.27,1.94,0.52,0.17,0.03,13,8.08
2,3,3,3,2,0.57,0.33,12.79,2.08,1.28,0.42,2.44,0.96,0.37,1.54,0.72,0.18,0.00,0.00,8,8.77
2,3,3,4,2,0.49,0.36,10.69,2.88,1.07,0.58,4.09,1.39,0.77,2.40,1.42,0.27,0.00,0.00,10,8.25
3,1,1,1,1,0.07,0.67,7.56,15.17,0.52,1.36,38.45,14.31,6.88,25.71,6.01,3.15,3.57,0.14,9,12.06
3,1,1,2,1,0.04,0.74,4.88,16.88,0.34,1.56,34.41,13.75,6.20,24.02,4.62,1.95,3.82,0.16,12,11.45
3,1,1,3,1,0.04,0.70,7.02,21.57,0.47,1.88,41.39,16.20,7.54,28.13,5.60,2.32,5.34,0.19,14,12.14
3,1,1,4,1,0.07,0.71,7.12,15.30,0.00,1.60,33.01,12.05,6.17,21.02,5.41,2.06,4.53,0.22,11,14.04
3,1,2,1,1,0.07,0.70,7.82,22.13,0.53,1.95,38.12,14.93,6.85,25.63,6.54,2.26,3.69,0.14,11,12.07
